example_id                                                  | status  | run_time        |
./spec/features/login_spec.rb[1:3]                          | passed  | 0.23389 seconds |
./spec/features/login_spec.rb[1:4]                          | passed  | 0.24381 seconds |
./spec/features/login_spec.rb[1:5]                          | passed  | 0.21276 seconds |
./spec/features/login_spec.rb[1:6]                          | passed  | 1.15 seconds    |
./spec/features/pagination_spec.rb[1:1]                     | passed  | 0.82582 seconds |
./spec/features/pagination_spec.rb[1:2]                     | passed  | 0.87624 seconds |
./spec/features/pagination_spec.rb[1:3]                     | passed  | 1.66 seconds    |
./spec/features/pagination_spec.rb[1:4]                     | passed  | 2.4 seconds     |
./spec/features/pagination_spec.rb[1:5]                     | passed  | 3.27 seconds    |
./spec/features/people_spec.rb[1:1]                         | passed  | 0.35191 seconds |
./spec/features/people_spec.rb[1:2]                         | passed  | 0.37465 seconds |
./spec/features/people_spec.rb[1:3]                         | passed  | 0.46741 seconds |
./spec/features/people_spec.rb[1:4]                         | passed  | 1.55 seconds    |
./spec/features/people_spec.rb[1:5]                         | passed  | 0.68334 seconds |
./spec/features/people_spec.rb[1:6]                         | passed  | 0.75334 seconds |
./spec/features/people_spec.rb[1:7]                         | passed  | 1.62 seconds    |
./spec/features/people_spec.rb[1:8]                         | passed  | 1.96 seconds    |
./spec/features/people_spec.rb[1:9]                         | passed  | 1.02 seconds    |
./spec/features/people_spec.rb[1:10]                        | passed  | 0.96437 seconds |
./spec/features/search_spec.rb[1:1]                         | passed  | 4.11 seconds    |
./spec/features/search_spec.rb[1:2]                         | passed  | 0.80441 seconds |
./spec/features/search_spec.rb[1:3]                         | passed  | 0.79682 seconds |
./spec/features/search_spec.rb[1:4]                         | passed  | 0.84632 seconds |
./spec/features/search_spec.rb[1:5]                         | passed  | 0.71273 seconds |
./spec/features/search_spec.rb[1:6]                         | passed  | 0.69257 seconds |
./spec/features/search_spec.rb[1:7]                         | passed  | 0.67695 seconds |
./spec/features/search_spec.rb[1:8]                         | passed  | 1.04 seconds    |
./spec/features/tags_spec.rb[1:1]                           | passed  | 0.69999 seconds |
